fname,itp,its,channels,network,magnitude
CI.PASC.00_2008-04-22T09_02_48.250_2008-04-22T09_07_50.357.npz,261,6345,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-22T09_17_49.561_2008-04-22T09_22_54.059.npz,342,6522,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-22T09_36_52.646_2008-04-22T09_41_56.795.npz,400,6566,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-22T10_19_03.206_2008-04-22T10_24_06.442.npz,220,6349,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-22T10_30_49.266_2008-04-22T10_35_52.629.npz,119,6254,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-04-22T10_33_04.766_2008-04-22T10_38_07.606.npz,96,6210,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-22T10_34_28.038_2008-04-22T10_39_31.389.npz,342,6476,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-22T11_13_22.663_2008-04-22T11_18_25.264.npz,616,6720,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-22T14_39_31.023_2008-04-22T14_44_34.898.npz,938,7093,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-04-22T15_24_27.188_2008-04-22T15_29_29.420.npz,504,6594,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-22T15_55_43.381_2008-04-22T16_00_47.185.npz,127,6279,BHZ_LHZ,CI,3.8
CI.PASC.00_2008-04-22T17_00_36.538_2008-04-22T17_05_00.045.npz,2400,6941,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-22T17_54_19.371_2008-04-22T18_00_06.249.npz,981,8856,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-22T19_02_01.246_2008-04-22T19_06_24.764.npz,2400,6940,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-22T20_40_59.312_2008-04-22T20_45_25.505.npz,2400,7048,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-22T21_04_23.219_2008-04-22T21_10_33.785.npz,79,8902,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-22T23_48_53.030_2008-04-22T23_52_15.813.npz,3600,6766,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-23T00_24_07.382_2008-04-23T00_27_43.089.npz,799,4741,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-23T00_54_27.856_2008-04-23T00_59_33.555.npz,863,7091,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-23T01_54_58.126_2008-04-23T01_58_20.402.npz,792,3928,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-23T02_06_53.913_2008-04-23T02_10_40.398.npz,2400,5460,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-23T02_27_13.861_2008-04-23T02_30_49.631.npz,218,4164,BHZ_LHZ,CI,1.9
CI.PASC.00_2008-04-23T03_36_26.449_2008-04-23T03_40_02.743.npz,531,4507,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-23T04_58_03.950_2008-04-23T05_04_07.510.npz,246,8788,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-23T10_52_39.214_2008-04-23T10_56_14.763.npz,268,4201,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-23T11_11_17.953_2008-04-23T11_14_53.716.npz,753,4698,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-23T17_21_24.979_2008-04-23T17_27_33.080.npz,939,9663,BHZ_LHZ,CI,2.4
CI.PASC.00_2008-04-23T19_06_13.944_2008-04-23T19_09_49.817.npz,856,4808,BHZ_LHZ,CI,1.4
CI.PASC.00_2008-04-24T05_24_18.876_2008-04-24T05_29_23.520.npz,499,6685,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-24T07_16_09.673_2008-04-24T07_21_13.128.npz,364,6502,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-04-24T11_22_32.997_2008-04-24T11_27_36.241.npz,160,6289,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-24T13_23_15.240_2008-04-24T13_26_53.316.npz,571,4655,BHZ_LHZ,CI,1.5
CI.PASC.00_2008-04-24T13_39_03.476_2008-04-24T13_44_08.064.npz,159,6342,BHZ_LHZ,CI,4.6
CI.PASC.00_2008-04-24T15_23_28.362_2008-04-24T15_27_04.122.npz,159,4105,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-04-24T22_47_27.123_2008-04-24T22_51_31.443.npz,2400,6172,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-04-24T22_56_14.486_2008-04-24T23_00_20.426.npz,2400,6238,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-04-24T23_18_23.722_2008-04-24T23_23_55.530.npz,796,8068,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-25T01_00_56.931_2008-04-25T01_05_02.312.npz,2400,6215,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-25T08_43_21.460_2008-04-25T08_47_26.690.npz,2400,6209,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-25T12_42_41.180_2008-04-25T12_46_46.510.npz,2400,6213,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-25T17_30_33.684_2008-04-25T17_34_39.126.npz,2400,6218,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-25T18_38_26.441_2008-04-25T18_42_31.776.npz,2400,6214,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-04-25T21_39_30.131_2008-04-25T21_43_05.735.npz,257,4193,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-26T00_14_57.898_2008-04-26T00_20_16.341.npz,126,6863,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-26T01_11_33.436_2008-04-26T01_15_09.049.npz,184,4121,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-26T01_13_41.994_2008-04-26T01_17_47.015.npz,2400,6201,BHZ_LHZ,CI,2.4
CI.PASC.00_2008-04-26T01_44_29.572_2008-04-26T01_48_04.492.npz,960,4854,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-26T01_54_47.782_2008-04-26T01_58_23.972.npz,876,4848,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-04-26T01_58_23.029_2008-04-26T02_01_58.553.npz,2,3933,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-26T06_40_22.857_2008-04-26T06_44_27.883.npz,2400,6201,BHZ_LHZ,CI,4.7
CI.PASC.00_2008-04-26T06_40_33.356_2008-04-26T06_44_37.240.npz,2400,6155,BHZ_LHZ,CI,5.0
CI.PASC.00_2008-04-26T06_44_14.240_2008-04-26T06_48_19.567.npz,2400,6213,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-26T06_45_30.894_2008-04-26T06_49_36.051.npz,2400,6207,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-26T06_52_02.891_2008-04-26T06_56_08.365.npz,2400,6219,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-26T06_59_27.098_2008-04-26T07_03_02.677.npz,485,4419,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-04-26T07_29_43.456_2008-04-26T07_33_48.551.npz,2400,6204,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-04-26T09_12_23.209_2008-04-26T09_16_28.539.npz,2400,6213,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-26T09_34_29.872_2008-04-26T09_40_36.424.npz,237,8899,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-26T15_48_34.615_2008-04-26T15_54_36.868.npz,411,8901,BHZ_LHZ,CI,2.4
CI.PASC.00_2008-04-26T16_31_31.990_2008-04-26T16_35_08.949.npz,5,4023,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-26T22_49_37.117_2008-04-26T22_53_14.420.npz,416,4455,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-27T09_45_26.522_2008-04-27T09_50_53.339.npz,673,7745,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-27T10_00_38.931_2008-04-27T10_04_42.286.npz,2400,6134,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-04-27T12_09_54.803_2008-04-27T12_13_30.187.npz,532,4454,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-04-27T15_15_46.290_2008-04-27T15_19_21.739.npz,380,4307,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-27T16_59_16.393_2008-04-27T17_02_51.660.npz,505,4421,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-27T17_44_11.001_2008-04-27T17_47_46.581.npz,298,4232,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-27T17_50_13.321_2008-04-27T17_54_18.689.npz,2400,6214,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-27T20_31_33.374_2008-04-27T20_35_10.787.npz,736,4780,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-27T20_43_26.817_2008-04-27T20_47_02.208.npz,239,4163,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-04-27T21_20_58.327_2008-04-27T21_27_05.091.npz,434,9104,BHZ_LHZ,CI,5.2
CI.PASC.00_2008-04-27T21_34_17.613_2008-04-27T21_40_22.529.npz,683,9280,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-27T21_35_26.054_2008-04-27T21_41_30.971.npz,164,8761,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-27T21_39_54.345_2008-04-27T21_45_59.417.npz,300,8902,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-27T21_50_32.200_2008-04-27T21_56_36.468.npz,224,8794,BHZ_LHZ,CI,3.5
CI.PASC.00_2008-04-27T21_50_56.036_2008-04-27T21_57_01.539.npz,977,9597,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-04-27T22_20_12.075_2008-04-27T22_26_08.121.npz,903,9145,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-04-28T00_38_50.205_2008-04-28T00_44_55.589.npz,148,8763,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-28T00_52_33.449_2008-04-28T00_56_10.585.npz,259,4286,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-04-28T01_48_31.705_2008-04-28T01_53_38.888.npz,149,6436,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-04-28T06_06_49.995_2008-04-28T06_10_25.509.npz,59,3989,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-04-28T07_40_46.022_2008-04-28T07_45_51.336.npz,476,6688,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-28T08_21_28.432_2008-04-28T08_24_41.817.npz,3600,6202,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-04-28T08_51_34.669_2008-04-28T08_55_10.802.npz,102,4071,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-28T11_33_42.621_2008-04-28T11_37_47.307.npz,2400,6187,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-28T15_49_48.430_2008-04-28T15_53_25.649.npz,363,4396,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-04-28T17_40_36.788_2008-04-28T17_46_46.878.npz,159,8963,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-28T21_04_54.761_2008-04-28T21_08_31.784.npz,206,4227,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-04-28T22_22_23.252_2008-04-28T22_28_35.218.npz,661,9539,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-29T02_22_49.620_2008-04-29T02_28_54.134.npz,616,9196,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-04-29T02_39_10.883_2008-04-29T02_44_19.637.npz,718,7068,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-04-29T04_15_28.501_2008-04-29T04_20_37.100.npz,603,6947,BHZ_LHZ,CI,4.1
CI.PASC.00_2008-04-29T05_51_28.428_2008-04-29T05_55_33.494.npz,2400,6202,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-29T06_02_16.485_2008-04-29T06_06_21.589.npz,2400,6204,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-29T13_57_34.153_2008-04-29T14_01_17.395.npz,162,4557,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-04-29T14_54_38.220_2008-04-29T15_00_44.458.npz,122,8771,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-04-29T16_15_23.827_2008-04-29T16_19_29.366.npz,2400,6221,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-04-29T17_44_56.714_2008-04-29T17_48_27.732.npz,600,4261,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-04-29T19_43_37.715_2008-04-29T19_47_17.205.npz,758,4928,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-04-29T21_21_56.520_2008-04-29T21_25_34.255.npz,316,4379,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-04-30T03_04_00.641_2008-04-30T03_08_30.679.npz,774,5576,BHZ_LHZ,CI,5.4
CI.PASC.00_2008-04-30T07_14_59.716_2008-04-30T07_21_07.530.npz,46,8759,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-04-30T07_36_56.669_2008-04-30T07_40_43.307.npz,2400,5466,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-04-30T19_33_37.010_2008-04-30T19_39_45.676.npz,316,9063,BHZ_LHZ,CI,3.8
CI.PASC.00_2008-04-30T22_19_21.080_2008-04-30T22_25_15.857.npz,33,8224,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-05-01T00_50_44.492_2008-05-01T00_54_19.924.npz,636,4563,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-05-01T03_55_04.072_2008-05-01T03_58_26.099.npz,3600,6721,BHZ_LHZ,CI,3.5
CI.PASC.00_2008-05-01T05_52_08.615_2008-05-01T05_55_46.878.npz,150,4246,BHZ_LHZ,CI,2.0
CI.PASC.00_2008-05-01T08_11_07.298_2008-05-01T08_14_25.074.npz,3600,6466,BHZ_LHZ,CI,4.3
CI.PASC.00_2008-05-01T12_25_58.634_2008-05-01T12_29_34.981.npz,481,4462,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-05-01T13_19_26.061_2008-05-01T13_23_01.689.npz,566,4503,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-01T13_28_33.861_2008-05-01T13_32_43.144.npz,2400,6371,BHZ_LHZ,CI,3.2
CI.PASC.00_2008-05-01T16_22_21.892_2008-05-01T16_27_27.702.npz,998,7231,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-05-01T20_53_02.791_2008-05-01T20_56_29.117.npz,387,3766,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-05-01T21_39_02.744_2008-05-01T21_42_21.328.npz,969,3885,BHZ_LHZ,CI,3.5
CI.PASC.00_2008-05-02T02_14_23.431_2008-05-02T02_19_38.725.npz,217,6829,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-05-02T04_03_02.301_2008-05-02T04_06_21.001.npz,775,3697,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-05-02T04_22_26.316_2008-05-02T04_25_44.854.npz,3600,6513,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-05-02T08_47_16.600_2008-05-02T08_50_56.404.npz,297,4485,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-05-02T11_57_55.953_2008-05-02T12_02_58.490.npz,30,6131,BHZ_LHZ,CI,3.5
CI.PASC.00_2008-05-02T13_52_39.362_2008-05-02T13_56_26.030.npz,2400,5467,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-05-02T17_12_18.770_2008-05-02T17_16_24.168.npz,2400,6215,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-05-02T19_38_28.390_2008-05-02T19_43_04.610.npz,361,5410,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-05-02T21_34_29.541_2008-05-02T21_38_07.229.npz,978,5040,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-02T22_18_39.005_2008-05-02T22_24_44.471.npz,823,9442,BHZ_LHZ,CI,3.3
CI.PASC.00_2008-05-03T06_07_55.419_2008-05-03T06_12_56.662.npz,561,6611,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-05-03T06_36_10.498_2008-05-03T06_41_14.428.npz,406,6563,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-05-03T07_48_28.099_2008-05-03T07_52_03.715.npz,318,4254,BHZ_LHZ,CI,1.5
CI.PASC.00_2008-05-04T02_07_51.466_2008-05-04T02_11_27.356.npz,694,4648,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-05-04T02_42_42.157_2008-05-04T02_47_45.485.npz,278,6411,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-05-04T02_52_51.844_2008-05-04T02_57_57.318.npz,762,6981,BHZ_LHZ,CI,5.1
CI.PASC.00_2008-05-04T12_11_26.203_2008-05-04T12_15_01.564.npz,589,4510,BHZ_LHZ,CI,1.4
CI.PASC.00_2008-05-04T15_12_23.577_2008-05-04T15_18_38.411.npz,199,9192,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-05-04T18_15_56.782_2008-05-04T18_19_17.831.npz,3600,6663,BHZ_LHZ,CI,3.7
CI.PASC.00_2008-05-04T21_14_24.607_2008-05-04T21_20_30.139.npz,716,9337,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-05-05T06_42_50.233_2008-05-05T06_48_58.033.npz,827,9539,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-05-05T07_20_09.570_2008-05-05T07_24_29.325.npz,2400,6790,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-05-05T13_01_21.593_2008-05-05T13_05_27.081.npz,2400,6220,BHZ_LHZ,CI,2.6
CI.PASC.00_2008-05-05T17_18_58.821_2008-05-05T17_22_33.017.npz,404,4254,BHZ_LHZ,CI,1.4
CI.PASC.00_2008-05-05T19_34_32.634_2008-05-05T19_38_09.246.npz,538,4535,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-06T00_47_42.809_2008-05-06T00_53_49.899.npz,150,8834,BHZ_LHZ,CI,2.4
CI.PASC.00_2008-05-06T08_42_06.504_2008-05-06T08_46_11.165.npz,2400,6186,BHZ_LHZ,CI,2.5
CI.PASC.00_2008-05-06T10_12_41.757_2008-05-06T10_16_16.689.npz,973,4868,BHZ_LHZ,CI,2.2
CI.PASC.00_2008-05-06T10_43_12.650_2008-05-06T10_46_48.970.npz,752,4731,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-05-06T17_20_11.314_2008-05-06T17_25_14.985.npz,508,6655,BHZ_LHZ,CI,4.5
CI.PASC.00_2008-05-06T21_57_51.034_2008-05-06T22_01_27.439.npz,982,4966,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-05-07T04_49_13.022_2008-05-07T04_52_50.989.npz,163,4240,BHZ_LHZ,CI,2.7
CI.PASC.00_2008-05-07T06_31_09.095_2008-05-07T06_34_44.773.npz,506,4446,BHZ_LHZ,CI,3.4
CI.PASC.00_2008-05-07T07_10_05.561_2008-05-07T07_15_29.770.npz,6,6975,BHZ_LHZ,CI,3.0
CI.PASC.00_2008-05-07T08_46_34.531_2008-05-07T08_50_10.074.npz,577,4510,BHZ_LHZ,CI,2.3
CI.PASC.00_2008-05-07T08_50_37.811_2008-05-07T08_54_13.400.npz,390,4326,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-07T10_05_26.967_2008-05-07T10_09_02.600.npz,495,4434,BHZ_LHZ,CI,1.5
CI.PASC.00_2008-05-07T10_49_52.461_2008-05-07T10_53_28.091.npz,656,4593,BHZ_LHZ,CI,2.1
CI.PASC.00_2008-05-07T14_15_18.168_2008-05-07T14_18_54.128.npz,436,4394,BHZ_LHZ,CI,1.5
CI.PASC.00_2008-05-07T18_31_22.422_2008-05-07T18_34_52.388.npz,85,3682,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-07T19_08_28.084_2008-05-07T19_14_36.994.npz,904,9660,BHZ_LHZ,CI,3.1
CI.PASC.00_2008-05-07T22_05_55.661_2008-05-07T22_11_00.160.npz,159,6339,BHZ_LHZ,CI,2.9
CI.PASC.00_2008-05-07T22_33_24.201_2008-05-07T22_36_59.764.npz,76,4009,BHZ_LHZ,CI,1.5
CI.PASC.00_2008-05-07T23_16_25.767_2008-05-07T23_20_03.415.npz,522,4581,BHZ_LHZ,CI,1.6
CI.PASC.00_2008-05-08T00_17_11.607_2008-05-08T00_20_36.229.npz,469,3746,BHZ_LHZ,CI,2.8
CI.PASC.00_2008-05-08T05_55_24.492_2008-05-08T05_59_29.926.npz,2400,6218,BHZ_LHZ,CI,3.6
CI.PASC.00_2008-05-08T09_51_05.249_2008-05-08T09_54_43.521.npz,324,4420,BHZ_LHZ,CI,1.8
CI.PASC.00_2008-05-08T10_16_59.367_2008-05-08T10_20_36.039.npz,167,4167,BHZ_LHZ,CI,1.7
CI.PASC.00_2008-05-08T23_15_51.427_2008-05-08T23_19_27.251.npz,737,4686,BHZ_LHZ,CI,1.6
